,0
0,New Jersey
1,Louisiana
2,Indiana
3,Pennsylvania
4,Arizona
5,Alabama
6,Colorado
7,North Carolina
8,North Dakota
9,Oklahoma
10,Oregon
11,Connecticut
12,Alaska
13,Washington
14,Nevada
15,Massachusetts
16,Virginia
17,Iowa
18,Vermont
19,Maine
20,Maryland
21,Kentucky
22,Michigan
23,Minnesota
24,Mississippi
25,Rhode Island
26,Tennessee
27,Hawaii
28,Illinois
29,Idaho
30,West Virginia
31,Florida
32,New Hampshire
33,Nebraska
34,California
35,South Dakota
36,Delaware
37,South Carolina
38,Missouri
39,Utah
40,Kansas
41,Arkansas
42,New Mexico
43,Wyoming
44,Montana
45,New York
46,Georgia
47,Wisconsin
